GANTRYID,VEHICLEPLATE,VEHICLETYPE,TRANSTIME
G006,粤K49044_2,B3,01/06/2022 18:14:01
G007,粤K49044_2,B3,01/06/2022 18:18:30
G008,粤K49044_2,B3,01/06/2022 18:24:42
G007,粤K49044_2,B3,02/06/2022 08:01:00
G008,粤K49044_2,B3,02/06/2022 08:05:30
G006,粤K49044_2,B3,03/06/2022 07:50:00
G007,粤K49044_2,B3,03/06/2022 07:52:22
G005,粤K49044_2,B3,04/06/2022 21:36:00
G001,闽X41607_0,T2,01/06/2022 13:40:00
G002,闽X41607_0,T2,01/06/2022 13:40:53
G003,闽X41607_0,T2,01/06/2022 13:42:37
G004,闽X41607_0,T2,01/06/2022 13:44:43
G005,闽X41607_0,T2,01/06/2022 13:45:48
G006,闽X41607_0,T2,01/06/2022 13:48:28
G007,闽X41607_0,T2,01/06/2022 13:50:23
G008,闽X41607_0,T2,01/06/2022 13:53:32
G009,闽X41607_0,T2,01/06/2022 13:55:20
G010,闽X41607_0,T2,01/06/2022 13:59:04
G011,闽X41607_0,T2,01/06/2022 14:00:27
G001,闽X41607_0,T2,04/06/2022 19:07:00
G002,闽X41607_0,T2,04/06/2022 19:08:35
G003,闽X41607_0,T2,04/06/2022 19:10:05
G004,闽X41607_0,T2,04/06/2022 19:12:17
G005,闽X41607_0,T2,04/06/2022 19:14:03
G006,闽X41607_0,T2,04/06/2022 19:19:06
G007,闽X41607_0,T2,04/06/2022 19:22:14
G008,闽X41607_0,T2,04/06/2022 19:27:03
G009,闽X41607_0,T2,04/06/2022 19:29:39
G010,闽X41607_0,T2,04/06/2022 19:35:28
G011,闽X41607_0,T2,04/06/2022 19:37:46
G001,闽F39376_0,B2,02/06/2022 07:16:00
G002,闽F39376_0,B2,02/06/2022 07:17:58
G003,闽F39376_0,B2,02/06/2022 07:20:34
G004,闽F39376_0,B2,02/06/2022 07:25:11
G005,闽F39376_0,B2,02/06/2022 07:27:05
G006,闽F39376_0,B2,02/06/2022 07:34:21
G007,闽F39376_0,B2,02/06/2022 07:37:13
G008,闽F39376_0,B2,02/06/2022 07:41:11
G009,闽F39376_0,B2,02/06/2022 07:44:38
G010,闽F39376_0,B2,02/06/2022 07:54:16
G011,闽F39376_0,B2,02/06/2022 07:57:42
G010,闽F39376_0,B2,03/06/2022 19:09:00
G011,闽F39376_0,B2,03/06/2022 19:12:27
G001,粤B68518_0,B1,01/06/2022 18:25:00
G002,粤B68518_0,B1,01/06/2022 18:26:16
G003,粤B68518_0,B1,01/06/2022 18:28:50
G004,粤B68518_0,B1,01/06/2022 18:32:15
G005,粤B68518_0,B1,01/06/2022 18:35:17
G006,粤B68518_0,B1,01/06/2022 18:43:51
G007,粤B68518_0,B1,01/06/2022 18:45:59
G008,粤B68518_0,B1,01/06/2022 18:54:23
G009,粤B68518_0,B1,01/06/2022 18:59:18
G010,粤B68518_0,B1,01/06/2022 19:11:11
G011,粤B68518_0,B1,01/06/2022 19:14:16
G001,粤B68518_0,B1,02/06/2022 22:26:00
G002,粤B68518_0,B1,02/06/2022 22:26:56
G003,粤B68518_0,B1,02/06/2022 22:28:28
G004,粤B68518_0,B1,02/06/2022 22:30:29
G005,粤B68518_0,B1,02/06/2022 22:32:25
G006,粤B68518_0,B1,02/06/2022 22:36:36
G007,粤B68518_0,B1,02/06/2022 22:38:06
G008,粤B68518_0,B1,02/06/2022 22:41:14
G009,粤B68518_0,B1,02/06/2022 22:43:11
G010,粤B68518_0,B1,02/06/2022 22:46:19
G011,粤B68518_0,B1,02/06/2022 22:47:54
G007,粤B68518_0,B1,03/06/2022 19:30:00
G008,粤B68518_0,B1,03/06/2022 19:35:44
G009,粤B68518_0,B1,03/06/2022 19:38:33
G010,粤B68518_0,B1,03/06/2022 19:48:12
G008,粤B68518_0,B1,04/06/2022 15:16:00
G009,粤B68518_0,B1,04/06/2022 15:17:36
G002,渝S35224_2,T1,01/06/2022 19:57:00
G003,渝S35224_2,T1,01/06/2022 19:58:46
G004,渝S35224_2,T1,01/06/2022 20:02:50
G005,渝S35224_2,T1,01/06/2022 20:04:36
G001,渝S35224_2,T1,02/06/2022 08:15:00
G002,渝S35224_2,T1,02/06/2022 08:16:39
G003,渝S35224_2,T1,02/06/2022 08:19:03
G004,渝S35224_2,T1,02/06/2022 08:22:45
G005,渝S35224_2,T1,02/06/2022 08:24:43
G006,渝S35224_2,T1,02/06/2022 08:29:32
G007,渝S35224_2,T1,02/06/2022 08:31:36
G009,渝S35224_2,T1,03/06/2022 08:04:00
G010,渝S35224_2,T1,03/06/2022 08:09:38
G001,渝S35224_2,T1,04/06/2022 19:40:00
G002,渝S35224_2,T1,04/06/2022 19:41:44
G003,渝S35224_2,T1,04/06/2022 19:43:08
G004,渝S35224_2,T1,04/06/2022 19:46:14
G005,渝S35224_2,T1,04/06/2022 19:49:22
G006,渝S35224_2,T1,04/06/2022 19:54:00
G007,渝S35224_2,T1,04/06/2022 19:58:05
G008,渝S35224_2,T1,04/06/2022 20:04:41
G009,渝S35224_2,T1,04/06/2022 20:06:47
G010,渝S35224_2,T1,04/06/2022 20:11:05
G011,渝S35224_2,T1,04/06/2022 20:12:38
G009,粤Z34005_1,B2,01/06/2022 07:22:00
G010,粤Z34005_1,B2,01/06/2022 07:25:06
G011,粤Z34005_1,B2,01/06/2022 07:29:07
G003,粤Z34005_1,B2,03/06/2022 08:23:00
G004,粤Z34005_1,B2,03/06/2022 08:25:37
G005,粤Z34005_1,B2,03/06/2022 08:28:14
G006,粤Z34005_1,B2,03/06/2022 08:37:23
G007,粤Z34005_1,B2,03/06/2022 08:40:46
G008,粤Z34005_1,B2,03/06/2022 08:47:29
G009,粤Z34005_1,B2,03/06/2022 08:50:45
G004,粤Z34005_1,B2,04/06/2022 14:54:00
G005,粤Z34005_1,B2,04/06/2022 14:55:18
G006,粤Z34005_1,B2,04/06/2022 14:59:03
G007,粤Z34005_1,B2,04/06/2022 15:00:53
G008,粤Z34005_1,B2,04/06/2022 15:04:46
G007,粤K76445_2,T2,01/06/2022 08:01:00
G008,粤K76445_2,T2,01/06/2022 08:05:00
G009,粤K76445_2,T2,01/06/2022 08:08:51
G010,粤K76445_2,T2,01/06/2022 08:15:06
G011,粤K76445_2,T2,01/06/2022 08:19:44
G001,粤K76445_2,T2,02/06/2022 18:30:00
G002,粤K76445_2,T2,02/06/2022 18:31:32
G003,粤K76445_2,T2,02/06/2022 18:33:20
G004,粤K76445_2,T2,02/06/2022 18:36:02
G005,粤K76445_2,T2,02/06/2022 18:37:53
G006,粤K76445_2,T2,02/06/2022 18:42:11
G007,粤K76445_2,T2,02/06/2022 18:44:38
G008,粤K76445_2,T2,02/06/2022 18:49:07
G009,粤K76445_2,T2,02/06/2022 18:52:35
G010,粤K76445_2,T2,02/06/2022 19:00:47
G011,粤K76445_2,T2,02/06/2022 19:04:07
G005,粤K76445_2,T2,03/06/2022 18:20:00
G006,粤K76445_2,T2,03/06/2022 18:24:35
G007,粤K76445_2,T2,03/06/2022 18:27:36
G008,粤K76445_2,T2,03/06/2022 18:31:09
G009,粤K76445_2,T2,03/06/2022 18:33:43
G010,粤K76445_2,T2,03/06/2022 18:42:12
G001,粤K76445_2,T2,04/06/2022 18:14:00
G002,粤K76445_2,T2,04/06/2022 18:15:07
G003,粤K76445_2,T2,04/06/2022 18:17:29
G004,粤K76445_2,T2,04/06/2022 18:19:39
G005,粤K76445_2,T2,04/06/2022 18:21:45
G006,粤K76445_2,T2,04/06/2022 18:27:09
G007,粤K76445_2,T2,04/06/2022 18:31:29
G008,粤K76445_2,T2,04/06/2022 18:36:10
G009,粤K76445_2,T2,04/06/2022 18:38:36
G010,粤K76445_2,T2,04/06/2022 18:48:41
G011,粤K76445_2,T2,04/06/2022 18:51:37
G001,沪Q32971_2,T1,01/06/2022 18:27:00
G002,沪Q32971_2,T1,01/06/2022 18:28:35
G003,沪Q32971_2,T1,01/06/2022 18:29:58
G004,沪Q32971_2,T1,01/06/2022 18:33:22
G005,沪Q32971_2,T1,01/06/2022 18:37:04
G003,沪Q32971_2,T1,02/06/2022 07:12:00
G004,沪Q32971_2,T1,02/06/2022 07:15:29
G005,沪Q32971_2,T1,02/06/2022 07:19:06
G006,沪Q32971_2,T1,02/06/2022 07:27:40
G007,沪Q32971_2,T1,02/06/2022 07:32:03
G008,沪Q32971_2,T1,02/06/2022 07:37:53
G009,沪Q32971_2,T1,02/06/2022 07:41:01
G010,沪Q32971_2,T1,02/06/2022 07:46:25
G008,闽Y29573_2,T2,01/06/2022 10:46:00
G009,闽Y29573_2,T2,01/06/2022 10:47:32
G010,闽Y29573_2,T2,01/06/2022 10:51:59
G001,闽Y29573_2,T2,02/06/2022 12:57:00
G002,闽Y29573_2,T2,02/06/2022 12:58:01
G003,闽Y29573_2,T2,02/06/2022 12:58:55
G004,闽Y29573_2,T2,02/06/2022 13:01:15
G005,闽Y29573_2,T2,02/06/2022 13:02:47
G006,闽Y29573_2,T2,02/06/2022 13:06:18
G007,闽Y29573_2,T2,02/06/2022 13:08:12
G008,闽Y29573_2,T2,02/06/2022 13:11:31
G009,闽Y29573_2,T2,02/06/2022 13:15:21
G010,闽Y29573_2,T2,02/06/2022 13:20:18
G011,闽Y29573_2,T2,02/06/2022 13:22:08
G001,闽Y29573_2,T2,03/06/2022 17:38:00
G002,闽Y29573_2,T2,03/06/2022 17:39:34
G003,闽Y29573_2,T2,03/06/2022 17:41:17
G004,闽R29625_2,B1,01/06/2022 20:21:00
G005,闽R29625_2,B1,01/06/2022 20:22:11
G006,闽R29625_2,B1,01/06/2022 20:25:26
G007,闽R29625_2,B1,01/06/2022 20:27:38
G008,闽R29625_2,B1,01/06/2022 20:31:35
G009,闽R29625_2,B1,01/06/2022 20:33:23
G007,闽R29625_2,B1,02/06/2022 08:52:00
G008,闽R29625_2,B1,02/06/2022 08:56:17
G002,闽R29625_2,B1,04/06/2022 14:34:00
G003,闽R29625_2,B1,04/06/2022 14:35:37
G001,浙A05578_0,B2,01/06/2022 12:21:00
G002,浙A05578_0,B2,01/06/2022 12:22:04
G003,浙A05578_0,B2,01/06/2022 12:23:11
G004,浙A05578_0,B2,01/06/2022 12:25:19
G005,浙A05578_0,B2,01/06/2022 12:26:49
G006,浙A05578_0,B2,01/06/2022 12:32:15
G007,浙A05578_0,B2,01/06/2022 12:34:21
G008,浙A05578_0,B2,01/06/2022 12:40:11
G009,浙A05578_0,B2,01/06/2022 12:41:55
G010,浙A05578_0,B2,01/06/2022 12:45:49
G011,浙A05578_0,B2,01/06/2022 12:47:26
G001,浙A05578_0,B2,02/06/2022 17:08:00
G002,浙A05578_0,B2,02/06/2022 17:10:34
G003,浙A05578_0,B2,02/06/2022 17:12:45
G004,浙A05578_0,B2,02/06/2022 17:17:19
G005,浙A05578_0,B2,02/06/2022 17:19:44
G006,浙A05578_0,B2,02/06/2022 17:24:22
G007,浙A05578_0,B2,02/06/2022 17:28:24
G008,浙A05578_0,B2,02/06/2022 17:36:54
G009,浙A05578_0,B2,02/06/2022 17:39:03
G010,浙A05578_0,B2,02/06/2022 17:49:39
G011,浙A05578_0,B2,02/06/2022 17:52:28
G001,浙A05578_0,B2,03/06/2022 22:33:00
G002,浙A05578_0,B2,03/06/2022 22:34:00
G003,浙A05578_0,B2,03/06/2022 22:34:57
G004,浙A05578_0,B2,03/06/2022 22:37:01
G005,浙A05578_0,B2,03/06/2022 22:38:26
G006,浙A05578_0,B2,03/06/2022 22:41:35
G007,浙A05578_0,B2,03/06/2022 22:43:32
G008,浙A05578_0,B2,03/06/2022 22:46:19
G009,浙A05578_0,B2,03/06/2022 22:47:59
G010,浙A05578_0,B2,03/06/2022 22:51:46
G011,浙A05578_0,B2,03/06/2022 22:53:31
G009,浙A05578_0,B2,04/06/2022 19:33:00
G010,浙A05578_0,B2,04/06/2022 19:35:40
G011,浙A05578_0,B2,04/06/2022 19:38:39
G004,粤D52595_0,B2,02/06/2022 09:18:00
G005,粤D52595_0,B2,02/06/2022 09:20:32
G006,粤D52595_0,B2,02/06/2022 09:24:53
G007,粤D52595_0,B2,02/06/2022 09:27:57
G005,粤D52595_0,B2,03/06/2022 08:38:00
G006,粤D52595_0,B2,03/06/2022 08:43:15
G007,粤D52595_0,B2,03/06/2022 08:46:09
G008,粤D52595_0,B2,03/06/2022 08:53:17
G007,粤D52595_0,B2,04/06/2022 17:24:00
G008,粤D52595_0,B2,04/06/2022 17:31:03
G009,粤D52595_0,B2,04/06/2022 17:33:47
G010,粤D52595_0,B2,04/06/2022 17:44:20
G011,粤D52595_0,B2,04/06/2022 17:47:20
G008,京U87870_2,B2,02/06/2022 08:03:00
G009,京U87870_2,B2,02/06/2022 08:06:32
G010,京U87870_2,B2,02/06/2022 08:16:04
G004,京U87870_2,B2,04/06/2022 14:38:00
G005,京U87870_2,B2,04/06/2022 14:39:06
G006,京U87870_2,B2,04/06/2022 14:42:55
G007,京U87870_2,B2,04/06/2022 14:44:48
G008,京U87870_2,B2,04/06/2022 14:49:09
G001,粤U06476_0,B1,02/06/2022 13:26:00
G002,粤U06476_0,B1,02/06/2022 13:27:24
G003,粤U06476_0,B1,02/06/2022 13:28:53
G004,粤U06476_0,B1,02/06/2022 13:30:22
G005,粤U06476_0,B1,02/06/2022 13:31:54
G006,粤U06476_0,B1,02/06/2022 13:35:39
G007,粤U06476_0,B1,02/06/2022 13:37:23
G008,粤U06476_0,B1,02/06/2022 13:40:00
G009,粤U06476_0,B1,02/06/2022 13:41:45
G010,粤U06476_0,B1,02/06/2022 13:46:52
G011,粤U06476_0,B1,02/06/2022 13:48:33
G002,粤U06476_0,B1,03/06/2022 18:25:00
G003,粤U06476_0,B1,03/06/2022 18:28:32
G004,粤U06476_0,B1,03/06/2022 18:32:02
G005,粤U06476_0,B1,03/06/2022 18:33:59
G006,粤U06476_0,B1,03/06/2022 18:43:02
G006,粤U06476_0,B1,04/06/2022 08:51:00
G001,粤A08243_0,B1,01/06/2022 21:36:00
G002,粤A08243_0,B1,01/06/2022 21:37:21
G003,粤A08243_0,B1,01/06/2022 21:38:13
G004,粤A08243_0,B1,01/06/2022 21:40:14
G005,粤A08243_0,B1,01/06/2022 21:42:29
G006,粤A08243_0,B1,01/06/2022 21:48:04
G007,粤A08243_0,B1,01/06/2022 21:50:29
G008,粤A08243_0,B1,01/06/2022 21:54:17
G009,粤A08243_0,B1,01/06/2022 21:55:57
G010,粤A08243_0,B1,01/06/2022 22:10:57
G011,粤A08243_0,B1,01/06/2022 22:12:21
G001,粤A08243_0,B1,02/06/2022 12:29:00
G002,粤A08243_0,B1,02/06/2022 12:30:01
G003,粤A08243_0,B1,02/06/2022 12:31:20
G004,粤A08243_0,B1,02/06/2022 12:33:49
G005,粤A08243_0,B1,02/06/2022 12:34:51
G006,粤A08243_0,B1,02/06/2022 12:39:31
G007,粤A08243_0,B1,02/06/2022 12:41:27
G008,粤A08243_0,B1,02/06/2022 12:43:50
G001,粤A08243_0,B1,03/06/2022 18:44:00
G002,粤A08243_0,B1,03/06/2022 18:46:29
G003,粤A08243_0,B1,03/06/2022 18:48:10
G004,粤A08243_0,B1,03/06/2022 18:50:56
G005,粤A08243_0,B1,03/06/2022 18:52:47
G006,粤A08243_0,B1,03/06/2022 18:58:31
G007,粤A08243_0,B1,03/06/2022 19:01:56
G008,粤A08243_0,B1,03/06/2022 19:09:07
G009,粤A08243_0,B1,03/06/2022 19:14:42
G010,粤A08243_0,B1,03/06/2022 19:23:57
G011,粤A08243_0,B1,03/06/2022 19:26:55
G004,粤A08243_0,B1,04/06/2022 14:11:00
G005,粤A08243_0,B1,04/06/2022 14:12:03
G001,京F23735_2,T1,03/06/2022 15:51:00
G002,京F23735_2,T1,03/06/2022 15:52:55
G003,京F23735_2,T1,03/06/2022 15:53:59
G004,京F23735_2,T1,03/06/2022 15:55:28
G005,京F23735_2,T1,03/06/2022 15:56:45
G006,京F23735_2,T1,03/06/2022 15:59:24
G007,京F23735_2,T1,03/06/2022 16:00:44
G008,京F23735_2,T1,03/06/2022 16:06:16
G009,京F23735_2,T1,03/06/2022 16:08:28
G010,京F23735_2,T1,03/06/2022 16:15:14
G011,京F23735_2,T1,03/06/2022 16:17:58
G001,京F23735_2,T1,04/06/2022 22:43:00
G002,京F23735_2,T1,04/06/2022 22:44:10
G003,京F23735_2,T1,04/06/2022 22:45:10
G004,京F23735_2,T1,04/06/2022 22:46:49
G005,京F23735_2,T1,04/06/2022 22:48:20
G006,京F23735_2,T1,04/06/2022 22:52:39
G007,京F23735_2,T1,04/06/2022 22:54:43
G008,京F23735_2,T1,04/06/2022 22:58:10
G009,京F23735_2,T1,04/06/2022 23:01:09
G010,京F23735_2,T1,04/06/2022 23:04:25
G011,京F23735_2,T1,04/06/2022 23:06:08
G008,粤X64026_0,B2,01/06/2022 07:56:00
G009,粤X64026_0,B2,01/06/2022 07:58:16
G010,粤X64026_0,B2,01/06/2022 08:11:04
G001,粤X64026_0,B2,02/06/2022 17:45:00
G002,粤X64026_0,B2,02/06/2022 17:46:27
G003,粤X64026_0,B2,02/06/2022 17:48:31
G004,粤X64026_0,B2,02/06/2022 17:52:19
G005,粤X64026_0,B2,02/06/2022 17:55:11
G006,粤X64026_0,B2,02/06/2022 18:06:25
G007,粤X64026_0,B2,02/06/2022 18:08:55
G008,粤X64026_0,B2,02/06/2022 18:14:46
G009,粤X64026_0,B2,02/06/2022 18:17:40
G010,粤X64026_0,B2,02/06/2022 18:32:59
G011,粤X64026_0,B2,02/06/2022 18:34:57
G001,粤X64026_0,B2,03/06/2022 14:03:00
G002,粤X64026_0,B2,03/06/2022 14:04:00
G003,粤X64026_0,B2,03/06/2022 14:05:12
G004,粤X64026_0,B2,03/06/2022 14:07:44
G005,粤X64026_0,B2,03/06/2022 14:09:11
G006,粤X64026_0,B2,03/06/2022 14:12:58
G007,粤X64026_0,B2,03/06/2022 14:15:10
G008,粤X64026_0,B2,03/06/2022 14:18:49
G009,粤X64026_0,B2,03/06/2022 14:20:51
G010,粤X64026_0,B2,03/06/2022 14:24:50
G011,粤X64026_0,B2,03/06/2022 14:26:21
G001,粤X64026_0,B2,04/06/2022 19:44:00
G002,粤X64026_0,B2,04/06/2022 19:45:31
G003,粤X64026_0,B2,04/06/2022 19:48:03
G004,粤X64026_0,B2,04/06/2022 19:50:36
G005,粤X64026_0,B2,04/06/2022 19:52:47
G006,粤X64026_0,B2,04/06/2022 19:57:55
G007,粤X64026_0,B2,04/06/2022 20:00:00
G008,粤X64026_0,B2,04/06/2022 20:03:02
G009,粤X64026_0,B2,04/06/2022 20:04:48
G010,粤X64026_0,B2,04/06/2022 20:08:52
G011,粤X64026_0,B2,04/06/2022 20:10:49
G006,苏U75172_2,B2,01/06/2022 14:06:00
G007,苏U75172_2,B2,01/06/2022 14:07:21
G008,苏U75172_2,B2,01/06/2022 14:09:51
G009,苏U75172_2,B2,01/06/2022 14:11:33
G010,苏U75172_2,B2,01/06/2022 14:16:03
G011,苏U75172_2,B2,01/06/2022 14:17:43
G010,苏U75172_2,B2,03/06/2022 22:53:00
G011,苏U75172_2,B2,03/06/2022 22:54:37
G004,苏U75172_2,B2,04/06/2022 08:02:00
